filename,watyr,pre_drain,post_drain
homathko,2019,3/18/2019 16:00,3/18/2019 18:00
homathko,2019,8/7/2019 12:00,8/7/2019 14:00
homathko,2020,3/18/2020 8:00,3/18/2020 9:00
homathko,2020,9/30/2020 11:00,9/30/2020 13:00
homathko,2022,10/6/2021 7:00,10/6/2021 10:00
homathko,2022,4/18/2022 19:00,6/7/2022 10:00
homathko,2023,5/12/2023 13:00,5/12/2023 15:00
homathko,2023,6/30/2023 7:00,6/30/2023 10:00
homathko,2024,10/5/2023 8:00,10/5/2023 9:00
homathko,2025,10/11/2023 8:00,10/11/2023 9:00
homathko,2025,4/17/2025 8:00,4/17/2025 9:00
lowercain,2019,5/7/2019 14:00,5/7/2019 15:00
lowercain,2020,10/30/2019 8:00,10/30/2019 10:00
lowercain,2020,5/8/2020 7:00,5/8/2020 9:00
lowercain,2020,9/29/2020 10:00,9/29/2020 11:00
lowercain,2021,3/12/2021 11:00,3/12/2021 13:00
lowercain,2022,10/22/2021 7:00,10/22/2021 9:00
lowercain,2022,7/14/2022 16:00,7/14/2022 18:00
lowercain,2023,3/30/2023 1:00,3/30/2023 9:00
lowercain,2024,10/25/2023 16:00,10/25/2023 17:00
lowercain,2025,10/25/2024 8:00,10/25/2024 9:00
uppercruickshank,2021,3/9/2021 13:00,3/9/2021 14:00
uppercruickshank,2022,11/16/2021 17:00,11/16/2021 18:00
uppercruickshank,2022,7/13/2022 7:00,7/13/2022 8:00
uppercruickshank,2023,9/22/2023 7:00,9/22/2023 10:00
uppercruickshank,2024,2/12/2024 10:00,2/12/2024 12:00
uppercruickshank,2025,12/2/2024 10:00,12/2/2024 14:00
perseverance,2023,9/22/2023 7:00,9/22/2023 10:00
perseverance,2019,7/26/2019 11:00,7/26/2019 12:00
perseverance,2020,3/9/2020 12:00,3/9/2020 13:00
perseverance,2021,10/21/2020 9:00,10/21/2020 12:00
perseverance,2021,6/18/2021 11:00,6/18/2021 12:00
perseverance,2022,11/16/2021 11:00,11/16/2021 14:00
perseverance,2023,11/2/2022 14:00,11/2/2022 16:00
perseverance,2023,9/22/2023 10:00,9/22/2023 11:00
perseverance,2024,2/12/2024 12:00,2/12/2024 13:00
perseverance,2024,12/2/2024 13:00,12/2/2024 15:00
mountarrowsmith,2017,12/14/2016 13:00,12/15/2016 16:00
mountarrowsmith,2017,1/22/2017 9:00,8/12/2017 17:00
mountarrowsmith,2018,2/8/2018 11:00,2/8/2018 13:00
mountarrowsmith,2019,10/4/2018 9:00,10/4/2018 12:00
mountarrowsmith,2019,2/4/2019 5:00,2/4/2019 15:00
